Company,Car_name,Model_year,History,Kilometers,Registered in,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
Maruti,Celerio VXI CNG,2018,Non-Accidental,44573,22-Sep,1st Owner,MANUAL,DL-12,DL,Petrol + CNG,31.8,60,5,Delhi,459299
Hyundai,GRAND I10 NIOS SPORTZ PETROL,2020,Non-Accidental,16489,22-Jun,1st Owner,MANUAL,UP-14,UP,Petrol,21,37,5,Delhi,650899
Hyundai,Creta S CRDI,2021,Non-Accidental,34475,22-Jan,1st Owner,MANUAL,DL-10,DL,Diesel,21.4,55,5,Delhi,1275499
Mahindra,Scorpio S3 2WD,2018,Non-Accidental,57534,22-Dec,1st Owner,MANUAL,DL-8C,DL,Diesel,null,60,3,Delhi,942899
Mahindra,Scorpio S9,2020,Non-Accidental,52492,22-Dec,1st Owner,MANUAL,UP-74,UP,Diesel,N/A,60,7,Delhi,1332299
Hyundai,Creta 1.6 VTVT SX AUTO,2019,Non-Accidental,32629,22-Jul,1st Owner,AUTOMATIC,HR-26,HR,Petrol,13,55,5,Delhi,1239099
Mahindra,Scorpio S11,2020,Non-Accidental,52034,22-Sep,1st Owner,MANUAL,UP-32,UP,Diesel,N/A,60,7,Delhi,1546899
Mahindra,XUV500 W9,2020,Non-Accidental,29314,22-Jan,1st Owner,MANUAL,HR-26,HR,Diesel,15.1,70,7,Delhi,1352099
Maruti,New  Wagon-R 1.0 Lxi (o) cng,2020,Non-Accidental,32337,22-Nov,1st Owner,MANUAL,UP-14,UP,Petrol + CNG,null,null,null,Delhi,567449
Maruti,New  Wagon-R LXI CNG 1.0 L,2020,Non-Accidental,29869,22-Aug,1st Owner,MANUAL,DL-6C,DL,Petrol + CNG,null,null,null,Delhi,568599
Maruti,Alto LXI CNG,2021,Non-Accidental,23812,22-Jun,1st Owner,MANUAL,DL-3C,DL,Petrol + CNG,31.5,60,4,Delhi,466799
Hyundai,Verna FLUIDIC 1.6 VTVT S,2016,Non-Accidental,75875,22-Feb,1st Owner,MANUAL,UP-32,UP,Petrol,17,43,5,Delhi,633199
Maruti,Alto 800 LXI,2015,Non-Accidental,58017,22-Sep,1st Owner,MANUAL,HR-16,HR,Petrol,22.7,35,5,Delhi,252099
Toyota,Innova Crysta 2.4 ZX AT,2020,Non-Accidental,31893,22-Mar,1st Owner,AUTOMATIC,HR-26,HR,Diesel,null,null,null,Delhi,2278599
Mahindra,XUV500 W7 FWD,2019,Non-Accidental,83705,22-Aug,2nd Owner,MANUAL,UP-32,UP,Diesel,15.1,70,7,Delhi,951999
Maruti,Baleno DELTA PETROL 1.2,2016,Non-Accidental,57529,22-Mar,2nd Owner,NA,DL-4C,DL,Petrol,21.4,37,5,Delhi,434299
Maruti,Swift Dzire LXI OPT,2015,Non-Accidental,57965,22-Dec,1st Owner,MANUAL,DL-3C,DL,Petrol,20.9,42,5,Delhi,451799
Maruti,Swift VXI AMT,2019,Non-Accidental,36602,22-Jan,1st Owner,AUTOMATIC,UP-16,UP,Petrol,22,37,5,Delhi,657999
Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,2018,Non-Accidental,53803,22-Sep,2nd Owner,MANUAL,HR-51,HR,Petrol + CNG,N/A,65,5,Delhi,413499
Maruti,Swift ZXI+,2018,Non-Accidental,49987,22-Oct,1st Owner,MANUAL,UP-14,UP,Petrol + CNG,22,37,5,Delhi,700799
Renault,Kwid RXT,2018,Non-Accidental,14977,22-Aug,1st Owner,MANUAL,DL-1C,DL,Petrol,23,28,5,Delhi,368899
Maruti,Swift ZXI+,2018,Non-Accidental,28552,22-Jun,1st Owner,MANUAL,DL-6C,DL,Petrol,22,37,5,Delhi,674899
Kia,SELTOS HTE 1.5 MT DIESEL,2021,Non-Accidental,29792,22-Mar,1st Owner,MANUAL,UP-32,UP,Diesel,null,null,null,Delhi,1037299
Maruti,Swift LXI OPT,2016,Non-Accidental,23487,22-Jun,1st Owner,MANUAL,DL-2C,DL,Petrol,20.4,42,5,Delhi,408199
Honda,Amaze 1.2 SMT I VTEC,2018,Non-Accidental,29441,22-Aug,1st Owner,MANUAL,HR-26,HR,Petrol,19.5,35,5,Delhi,587199
Maruti,Ertiga ZXI Plus SHVS,2019,Non-Accidental,55939,22-May,1st Owner,MANUAL,DL-3C,DL,Petrol,19,45,7,Delhi,944699
Maruti,Alto 800 LXI CNG,2016,Non-Accidental,32272,22-Jul,1st Owner,MANUAL,DL-8C,DL,Petrol + CNG,33.4,60,4,Delhi,327999
Hyundai,VENUE 1.0L Turbo GDI SX MT,2020,Non-Accidental,30227,22-Dec,2nd Owner,MANUAL,HR-10,HR,Petrol,18.2,45,5,Delhi,844599
Mahindra,XUV500 W11 (O),2018,Non-Accidental,48707,N/A,1st Owner,MANUAL,UP-16,UP,Diesel,15.1,70,7,Delhi,1257999
Nissan,MAGNITE XL Turbo CVT,2021,Non-Accidental,10835,22-Feb,1st Owner,NA,DL-3C,DL,Petrol,17.7,40,5,Delhi,874499
Hyundai,Xcent S 1.2 OPT,2014,Non-Accidental,64118,22-Jun,1st Owner,MANUAL,DL-10,DL,Petrol,19.1,43,5,Delhi,372299
Toyota,Fortuner 2.8 4x2 AT,2018,Non-Accidental,85472,22-Mar,1st Owner,AUTOMATIC,DL-14,DL,Diesel,null,null,null,Delhi,2857799
Toyota,YARIS J MT,2018,Non-Accidental,14652,22-Dec,1st Owner,MANUAL,DL-10,DL,Petrol,17.1,42,5,Delhi,732699
Hyundai,Elite i20 MAGNA 1.2,2015,Non-Accidental,11311,22-May,1st Owner,MANUAL,UP-16,UP,Petrol,18.6,45,5,Delhi,499899
Honda,Amaze 1.2 V MT I-VTEC,2019,Non-Accidental,14394,22-May,2nd Owner,MANUAL,HR-26,HR,Petrol,18.6,35,5,Delhi,666399
Maruti,Swift Dzire ZXI 1.2 BS IV,2016,Non-Accidental,38655,22-Jun,1st Owner,MANUAL,DL-6C,DL,Petrol,N/A,43,5,Delhi,513899
Maruti,Wagon R 1.0 LXI CNG,2014,Non-Accidental,47759,22-Jul,1st Owner,MANUAL,DL-8C,DL,Petrol + CNG,26.6,35,5,Delhi,339099
Maruti,Eeco 7 STR,2019,Non-Accidental,21967,22-May,1st Owner,MANUAL,DL-8C,DL,Petrol,16.2,40,7,Delhi,441499
Maruti,Wagon R 1.0 VXI,2015,Non-Accidental,32572,22-Nov,1st Owner,MANUAL,DL-9C,DL,Petrol,20.5,35,5,Delhi,357199
Renault,Kwid RXL,2018,Non-Accidental,35949,22-Dec,1st Owner,MANUAL,UP-15,UP,Petrol,25.2,28,5,Delhi,320499
Maruti,Celerio VXI AMT,2018,Non-Accidental,11190,22-Jan,1st Owner,AUTOMATIC,DL-6C,DL,Petrol,23.1,35,5,Delhi,446899
Mahindra,XUV500 W9 AT,2021,Non-Accidental,21875,22-Sep,1st Owner,AUTOMATIC,UP-16,UP,Diesel,17.9,70,7,Delhi,1630299
Maruti,Alto K10 LXI,2012,Non-Accidental,86746,22-Feb,2nd Owner,MANUAL,DL-13,DL,Petrol,20.2,35,5,Delhi,187499
Maruti,Celerio VXI,2017,Non-Accidental,26031,22-Oct,1st Owner,MANUAL,HR-26,HR,Petrol,21.6,35,5,Delhi,395599
Maruti,Alto 800 LXI CNG,2013,Non-Accidental,64238,22-Jan,1st Owner,MANUAL,DL-8C,DL,Petrol + CNG,22.7,35,5,Delhi,220899
Maruti,Celerio ZXI AMT,2021,Non-Accidental,9278,22-Mar,1st Owner,AUTOMATIC,UP-14,UP,Petrol,null,null,null,Delhi,583699
Renault,Kwid RXL,2018,Non-Accidental,65675,22-Apr,2nd Owner,MANUAL,HR-36,HR,Petrol,25.2,28,5,Delhi,296499
Honda,City V MT PETROL,2010,Non-Accidental,50350,22-Aug,1st Owner,MANUAL,UP-16,UP,Petrol,11.6,42,5,Delhi,332199
Renault,Kiger RXL EASY R 1.0 L,2021,Non-Accidental,16216,22-Apr,1st Owner,NA,DL-12,DL,Petrol,19,40,5,Delhi,749999
Ford,Ecosport 1.5 TREND TI VCT,2019,Non-Accidental,29106,22-Mar,1st Owner,MANUAL,DL-12,DL,Petrol,17,52,5,Delhi,737299
Maruti,Alto 800 LXI,2015,Non-Accidental,54533,22-Mar,1st Owner,MANUAL,DL-9C,DL,Petrol,22.7,35,5,Delhi,245699
Maruti,Alto LXI,2019,Non-Accidental,71318,22-Aug,1st Owner,MANUAL,UP-32,UP,Petrol,24.7,35,5,Delhi,290699
Maruti,Alto 800 LXI,2019,Non-Accidental,11091,22-May,1st Owner,MANUAL,DL-8C,DL,Petrol,24.7,35,5,Delhi,296299
Renault,Kwid RXL,2019,Non-Accidental,70457,22-Feb,1st Owner,MANUAL,DL-3C,DL,Petrol,25.2,28,5,Delhi,310199
Mahindra,XUV500 W5,2020,Non-Accidental,28389,22-Dec,1st Owner,MANUAL,UP-14,UP,Diesel,15.1,70,7,Delhi,1195099
Maruti,Dzire LXI,2020,Non-Accidental,35268,22-Dec,1st Owner,MANUAL,DL-1C,DL,Petrol,23.2,37,5,Delhi,616399
Hyundai,Verna 1.6 SX (O) CRDI MT,2019,Non-Accidental,59078,22-Nov,1st Owner,MANUAL,UP-32,UP,Diesel,24.8,45,5,Delhi,1023399
Maruti,Swift Dzire VXI,2013,Non-Accidental,26065,22-Mar,1st Owner,MANUAL,UP-16,UP,Petrol,19.1,42,5,Delhi,383999
Mg,HECTOR SHARP DCT PETROL,2020,Non-Accidental,33033,22-Mar,1st Owner,AUTOMATIC,DL-12,DL,Petrol,14,60,5,Delhi,1571699
Kia,SELTOS HTK PLUS 1.5 DIESEL,2021,Non-Accidental,19013,22-Jan,1st Owner,MANUAL,UP-32,UP,Diesel,null,null,null,Delhi,1253399
Mahindra,Scorpio S10,2017,Non-Accidental,52999,22-Feb,1st Owner,MANUAL,HR-51,HR,Diesel,15.4,60,7,Delhi,950499
Renault,Kwid RXL,2019,Non-Accidental,1122,22-Apr,1st Owner,MANUAL,HR-51,HR,Petrol,25,28,5,Delhi,389799
Kia,SELTOS HTK PLUS AT 1.5 DIESEL,2022,Non-Accidental,6285,22-Feb,1st Owner,AUTOMATIC,HR-26,HR,Diesel,null,null,null,Delhi,1596399
Maruti,Vitara Brezza LXI,2022,Non-Accidental,8195,22-Mar,1st Owner,MANUAL,DL-11,DL,Petrol,null,null,null,Delhi,870199
Maruti,Wagon R 1.0 LXI,2010,Non-Accidental,67081,22-Jul,2nd Owner,MANUAL,DL-4C,DL,Petrol,15,35,5,Delhi,186199
Maruti,Dzire LXI,2019,Non-Accidental,12249,22-Dec,1st Owner,MANUAL,DL-8C,DL,Petrol,23.2,37,5,Delhi,600799
Maruti,Alto 800 VXI,2014,Non-Accidental,71068,22-Sep,1st Owner,MANUAL,DL-8C,DL,Petrol,22.7,35,5,Delhi,267699
Maruti,Wagon R 1.0 VXI,2016,Non-Accidental,34596,22-Mar,1st Owner,MANUAL,HR-29,HR,Petrol,20.5,35,5,Delhi,339799
Maruti,Alto LXI,2010,Non-Accidental,70516,22-Sep,2nd Owner,MANUAL,DL-9C,DL,Petrol,19.7,35,5,Delhi,135099
Maruti,Alto K10 VXI,2011,Non-Accidental,86391,22-Oct,1st Owner,MANUAL,HR-26,HR,Petrol,20.2,35,5,Delhi,185799
Maruti,Alto LXI,2010,Non-Accidental,55566,22-Nov,1st Owner,MANUAL,UP-14,UP,Petrol,19.7,35,5,Delhi,181299
Maruti,Ritz LXI,2011,Non-Accidental,61176,22-Nov,1st Owner,MANUAL,DL-9C,DL,Petrol,21.1,43,5,Delhi,204699
Maruti,Baleno SIGMA 1.2 K12,2021,Non-Accidental,20843,22-Aug,1st Owner,MANUAL,UP-14,UP,Petrol,22.3,37,5,Delhi,597599
Maruti,Swift LXI,2019,Non-Accidental,75889,22-Apr,1st Owner,MANUAL,HR-51,HR,Petrol + CNG,22,37,5,Delhi,503249
Maruti,A Star VXI,2009,Non-Accidental,47542,22-Oct,1st Owner,MANUAL,DL-9C,DL,Petrol,13.8,35,5,Delhi,190399
Hyundai,i10 SPORTZ 1.2 KAPPA2,2011,Non-Accidental,56559,22-May,2nd Owner,MANUAL,UP-65,UP,Petrol,20.6,35,5,Delhi,223299
Renault,Kiger RXE 1.0 MT,2021,Non-Accidental,24199,22-Jun,1st Owner,NA,HR-51,HR,Petrol + CNG,null,null,null,Delhi,588499
Maruti,Baleno DELTA 1.2 K12,2018,Non-Accidental,26759,22-Apr,1st Owner,MANUAL,HR-29,HR,Petrol,21.4,37,5,Delhi,559699
Hyundai,VENUE S Plus MT 1.2 Kappa,2022,Non-Accidental,9463,22-Mar,1st Owner,MANUAL,UP-14,UP,Petrol,null,null,null,Delhi,968199
Maruti,Wagon R 1.0 VXI,2010,Non-Accidental,33383,22-Jun,1st Owner,MANUAL,DL-3C,DL,Petrol,15,35,5,Delhi,232099
Renault,Kwid RXL,2018,Non-Accidental,59920,22-Feb,1st Owner,MANUAL,DL-3C,DL,Petrol,25.2,28,5,Delhi,291199
Hyundai,i20 ERA 1.4 CRDI,2013,Non-Accidental,29588,N/A,1st Owner,MANUAL,DL-10,DL,Diesel,14.9,45,5,Delhi,276299
Maruti,Swift LXI,2021,Non-Accidental,5234,22-Mar,1st Owner,MANUAL,DL-8C,DL,Petrol,21.2,37,5,Delhi,593499
Maruti,Swift LXI,2019,Non-Accidental,13950,22-Jul,1st Owner,MANUAL,DL-3C,DL,Petrol,22,37,5,Delhi,550999
Maruti,Swift LXI,2020,Non-Accidental,12183,22-Jun,1st Owner,MANUAL,DL-3C,DL,Petrol,23.2,37,5,Delhi,588699
Mercedes Benz,Benz C Class C 200 AVANTGARDE,2014,Non-Accidental,37838,22-Mar,1st Owner,AUTOMATIC,UP-16,UP,Petrol,14.7,66,5,Delhi,1854499
Maruti,Baleno SIGMA PETROL 1.2,2020,Non-Accidental,10914,22-Dec,1st Owner,NA,HR-26,HR,Petrol,22.3,37,5,Delhi,559599
Hyundai,i20 MAGNA 1.2 VTVT,2012,Non-Accidental,75862,22-Jul,3rd Owner,MANUAL,DL-10,DL,Petrol,18.2,45,5,Delhi,276649
Maruti,Wagon R 1.0 LXI,2012,Non-Accidental,48121,22-Oct,1st Owner,MANUAL,DL-8C,DL,Petrol + CNG,15,35,5,Delhi,277999
Maruti,Swift VXI,2020,Non-Accidental,3152,22-Feb,1st Owner,MANUAL,DL-6C,DL,Petrol,22,37,5,Delhi,657599
Datsun,Redi Go D,2018,Non-Accidental,15968,22-Apr,1st Owner,MANUAL,HR-50,HR,Petrol,null,null,null,Delhi,234499
Maruti,Swift LXI,2020,Non-Accidental,11067,22-Dec,1st Owner,MANUAL,DL-3C,DL,Petrol,23.2,37,5,Delhi,565199
Maruti,Swift Dzire VXI 1.3,2009,Non-Accidental,26495,22-Dec,2nd Owner,MANUAL,DL-9C,DL,Petrol,11.9,43,5,Delhi,216199
Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,2018,Non-Accidental,6875,22-Apr,2nd Owner,MANUAL,UP-16,UP,Petrol,19.8,43,5,Delhi,526599
Maruti,Vitara Brezza ZDI,2016,Non-Accidental,101529,N/A,1st Owner,MANUAL,HR-26,HR,Diesel,24.3,48,5,Delhi,560399
Maruti,Vitara Brezza ZDI PLUS,2017,Non-Accidental,90969,22-Feb,1st Owner,MANUAL,DL-6C,DL,Diesel,24.3,48,5,Delhi,671799
Maruti,Vitara Brezza ZDI PLUS DUAL TONE,2016,Non-Accidental,90492,N/A,1st Owner,MANUAL,HR-02,HR,Diesel,24.3,48,5,Delhi,616599
Maruti,S Cross ZETA 1.3,2017,Non-Accidental,37773,22-Aug,1st Owner,MANUAL,DL-8C,DL,Diesel,23.7,48,5,Delhi,695999
Toyota,Innova Crysta 2.8 ZX AT 7 STR,2017,Non-Accidental,85182,22-May,1st Owner,AUTOMATIC,HR-51,HR,Diesel,14.3,55,7,Delhi,1720699
Maruti,Vitara Brezza VDI,2016,Non-Accidental,66151,N/A,2nd Owner,MANUAL,HR-51,HR,Diesel,24.3,48,5,Delhi,533599
Ford,Ecosport 1.5 AMBIENTE TDCI,2018,Non-Accidental,54457,22-Oct,1st Owner,MANUAL,HR-26,HR,Diesel,25.8,40,5,Delhi,663499
Mercedes Benz,Benz E Class E 220 CDI ELEGANCE,2013,Non-Accidental,53524,N/A,1st Owner,AUTOMATIC,HR-26,HR,Diesel,10,80,5,Delhi,1067899
Maruti,Baleno ALPHA PETROL 1.2,2018,Non-Accidental,54563,22-Nov,1st Owner,NA,HR-13,HR,Petrol,21.4,37,5,Delhi,612999
Ford,Ecosport 1.5TITANIUM TDCI,2019,Non-Accidental,43680,22-Mar,1st Owner,MANUAL,DL-10,DL,Diesel,23,52,5,Delhi,762399
Maruti,Vitara Brezza ZDI PLUS,2017,Non-Accidental,75758,22-Feb,2nd Owner,MANUAL,DL-2C,DL,Diesel,24.3,48,5,Delhi,645099
Ford,Ecosport 1.5 TDCI TITANIUM PLUS,2017,Non-Accidental,26892,22-May,1st Owner,MANUAL,DL-10,DL,Diesel,23,52,5,Delhi,707499
Maruti,Swift VDI,2014,Non-Accidental,87888,22-Nov,1st Owner,MANUAL,HR-36,HR,Diesel,25.2,42,5,Delhi,375199
Maruti,Swift ZDI,2017,Non-Accidental,51607,22-Jan,2nd Owner,MANUAL,HR-26,HR,Diesel,25.2,42,5,Delhi,510499
Maruti,IGNIS DELTA 1.2 K12 AMT,2017,Non-Accidental,95636,22-Jul,1st Owner,AUTOMATIC,HR-26,HR,Petrol,20.9,32,5,Delhi,459499
Maruti,Alto K10 VXI,2017,Non-Accidental,56783,22-May,1st Owner,MANUAL,HR-24,HR,Petrol,24.1,35,5,Delhi,353399
Renault,Duster RXZ AMT 110 PS,2017,Non-Accidental,89537,22-Dec,2nd Owner,AUTOMATIC,UP-14,UP,Diesel,19.6,50,5,Delhi,685799
Ford,Ecosport 1.5TITANIUM TDCI,2015,Non-Accidental,100297,N/A,2nd Owner,MANUAL,DL-12,DL,Diesel,22.7,52,5,Delhi,448299
Ford,Ecosport 1.5TITANIUM TDCI,2018,Non-Accidental,18459,22-Sep,1st Owner,MANUAL,DL-11,DL,Diesel,23,52,5,Delhi,797299
Maruti,IGNIS ZETA 1.2 K12,2017,Non-Accidental,57597,22-Apr,1st Owner,MANUAL,DL-9C,DL,Petrol,20.9,32,5,Delhi,531499
Renault,Duster 85 PS RXE DIESEL ADVENTURE,2015,Non-Accidental,65738,22-Feb,1st Owner,MANUAL,DL-8C,DL,Diesel,20.5,50,5,Delhi,456599
Maruti,Alto LXI CNG,2021,Non-Accidental,26773,22-Aug,1st Owner,MANUAL,HR-10,HR,Petrol + CNG,31.5,60,4,Delhi,462199
Maruti,S PRESSO VXI (O) CNG,2021,Non-Accidental,41088,22-Jan,1st Owner,MANUAL,HR-26,HR,Petrol + CNG,31.2,55,4,Delhi,499499
Maruti,Swift VXI,2017,Non-Accidental,14307,22-Feb,1st Owner,MANUAL,HR-10,HR,Petrol,20.4,42,5,Delhi,552599
Maruti,Vitara Brezza ZDI,2018,Non-Accidental,40479,22-Aug,2nd Owner,MANUAL,DL-3C,DL,Diesel,24.3,48,5,Delhi,779699
Renault,Duster RXS 85 PS,2017,Non-Accidental,96138,22-Sep,1st Owner,MANUAL,HR-87,HR,Diesel,19.9,50,5,Delhi,608399
Audi,A6 35 TDI S LINE,2015,Non-Accidental,39079,22-Apr,2nd Owner,AUTOMATIC,HR-26,HR,Diesel,N/A,75,5,Delhi,1615999
Tata,Hexa Varicor 400 XT 4X4,2017,Non-Accidental,95384,22-Dec,1st Owner,MANUAL,UP-16,UP,Diesel,null,null,null,Delhi,1050399
Maruti,S Cross ZETA 1.3 SHVS,2018,Non-Accidental,22938,22-Jan,1st Owner,MANUAL,DL-8C,DL,Diesel,24,48,5,Delhi,824299
Ford,Ecosport 1.5 TDCI TITANIUM PLUS,2018,Non-Accidental,71854,22-Apr,1st Owner,MANUAL,DL-8C,DL,Diesel,23,52,5,Delhi,757399
Maruti,Vitara Brezza VDI AMT,2018,Non-Accidental,79514,22-Sep,1st Owner,AUTOMATIC,HR-26,HR,Diesel,24.3,48,5,Delhi,721299
Maruti,Baleno ALPHA DDIS 190,2017,Non-Accidental,83190,22-Nov,1st Owner,MANUAL,DL-2C,DL,Diesel,27.4,37,5,Delhi,549899
Hyundai,GRAND I10 NIOS SPORTZ PETROL,2019,Non-Accidental,40611,22-Oct,1st Owner,MANUAL,HR-26,HR,Petrol,21,37,5,Delhi,612599
Audi,Q5 30 TDI PREMIUM PLUS,2014,Non-Accidental,33405,N/A,1st Owner,AUTOMATIC,DL-1C,DL,Diesel,12.4,75,5,Delhi,1673399
Maruti,Alto K10 VXI,2019,Non-Accidental,38921,22-May,1st Owner,MANUAL,DL-6C,DL,Petrol,24.1,35,5,Delhi,387399
Ford,Ecosport 1.5TITANIUM TDCI,2018,Non-Accidental,56027,22-Oct,1st Owner,MANUAL,DL-10,DL,Diesel,23,52,5,Delhi,712799
Maruti,Alto 800 VXI,2017,Non-Accidental,21719,22-Nov,1st Owner,MANUAL,DL-3C,DL,Petrol,24.7,35,5,Delhi,305199
Maruti,Vitara Brezza ZDI + AMT,2018,Non-Accidental,16165,22-Nov,2nd Owner,AUTOMATIC,HR-51,HR,Diesel,24.3,48,5,Delhi,922299
Renault,Duster 85 PS RXE DIESEL ADVENTURE,2015,Non-Accidental,55669,22-Jan,1st Owner,MANUAL,DL-1C,DL,Diesel,20.5,50,5,Delhi,421799
Hyundai,Creta 1.6 CRDI SX PLUS AUTO,2017,Non-Accidental,62321,22-Aug,1st Owner,AUTOMATIC,UP-32,UP,Diesel,17,60,5,Delhi,1044949
Renault,Duster 85 PS RXE,2014,Non-Accidental,160140,N/A,1st Owner,MANUAL,DL-8C,DL,Diesel,20.5,50,5,Delhi,323499
Tata,NEXON XT1.5,2018,Non-Accidental,75679,22-Mar,1st Owner,MANUAL,HR-10,HR,Diesel,24,44,5,Delhi,694499
Maruti,Alto K10 VXI,2018,Non-Accidental,68078,22-Jan,1st Owner,MANUAL,HR-59,HR,Petrol,24.1,35,5,Delhi,345299
Maruti,Baleno ALPHA 1.2 K12,2016,Non-Accidental,56720,22-Aug,2nd Owner,MANUAL,DL-1C,DL,Petrol,21.4,37,5,Delhi,539099
Maruti,Baleno DELTA 1.2 K12,2020,Non-Accidental,38037,22-Aug,1st Owner,MANUAL,UP-14,UP,Petrol,21.4,37,5,Delhi,682019
Maruti,S PRESSO VXI PLUS,2020,Non-Accidental,48914,22-Jan,1st Owner,MANUAL,HR-11,HR,Petrol,21.7,27,5,Delhi,401399
Maruti,Baleno DELTA PETROL 1.2,2018,Non-Accidental,85545,22-Oct,2nd Owner,NA,DL-2C,DL,Petrol,21.4,37,5,Delhi,540499
Audi,A6 2.0 TDI TECHNOLOGY,2015,Non-Accidental,77595,22-Mar,2nd Owner,AUTOMATIC,UP-16,UP,Diesel,17.7,65,5,Delhi,1823299
Maruti,Alto 800 LXI,2019,Non-Accidental,36272,22-Jan,1st Owner,MANUAL,HR-51,HR,Petrol,24.7,35,5,Delhi,341599
Maruti,Baleno ZETA 1.2 K12,2017,Non-Accidental,57684,22-Oct,1st Owner,MANUAL,HR-26,HR,Petrol,21.4,37,5,Delhi,535599
Maruti,S Cross ALPHA SHVS,2019,Non-Accidental,50363,22-Feb,1st Owner,MANUAL,HR-26,HR,Diesel,24,48,5,Delhi,990199
Hyundai,Elite i20 ASTA 1.2 DUAL TONE,2017,Non-Accidental,18273,22-Jun,1st Owner,MANUAL,DL-11,DL,Petrol,18.6,45,5,Delhi,700499
Ford,Ecosport 1.5TITANIUM TDCI,2018,Non-Accidental,74204,22-Apr,1st Owner,MANUAL,HR-29,HR,Diesel,23,52,5,Delhi,716199
Maruti,IGNIS ZETA 1.2 K12,2018,Non-Accidental,54413,22-Mar,2nd Owner,MANUAL,HR-29,HR,Petrol,21.4,37,5,Delhi,487199
Ford,Ecosport 1.5TITANIUM TDCI,2021,Non-Accidental,23007,22-Mar,1st Owner,MANUAL,UP-16,UP,Diesel,21.7,52,5,Delhi,1067999
Maruti,Baleno DELTA 1.2 K12,2020,Non-Accidental,30874,22-Dec,1st Owner,MANUAL,DL-7C,DL,Petrol,21.4,37,5,Delhi,683499
Hyundai,i20 Active 1.2 S,2015,Non-Accidental,94499,22-Jun,2nd Owner,MANUAL,HR-26,HR,Petrol + CNG,17.2,45,5,Delhi,501299
Skoda,Rapid STYLE 1.0TSI MT,2021,Non-Accidental,9999,22-Nov,1st Owner,MANUAL,DL-8C,DL,Petrol,null,null,null,Delhi,1120399
Maruti,S PRESSO VXI OPT AGS,2020,Non-Accidental,23738,22-Nov,1st Owner,AUTOMATIC,HR-36,HR,Petrol,null,null,null,Delhi,482499
Maruti,S Cross ALPHA SHVS,2018,Non-Accidental,13730,22-Jun,1st Owner,MANUAL,DL-8C,DL,Diesel,24,48,5,Delhi,1115299
Ford,Ecosport 1.5 TITANIUM TI VCT,2017,Non-Accidental,48593,22-Oct,1st Owner,MANUAL,DL-14,DL,Petrol,15.6,52,5,Delhi,675099
Maruti,Swift LXI,2018,Non-Accidental,39759,22-Jun,2nd Owner,MANUAL,HR-35,HR,Petrol,22,37,5,Delhi,509799
Maruti,Vitara Brezza ZDI,2019,Non-Accidental,56490,22-Nov,1st Owner,MANUAL,UP-16,UP,Diesel,24.3,48,5,Delhi,839849
Maruti,S PRESSO VXI PLUS,2021,Non-Accidental,9486,22-Jan,1st Owner,MANUAL,HR-26,HR,Petrol,21.7,27,5,Delhi,458399
Maruti,Alto K10 VXI,2019,Non-Accidental,34538,22-Feb,1st Owner,MANUAL,UP-16,UP,Petrol,24.1,35,5,Delhi,398549
Hyundai,Elite i20 ASTA 1.2,2017,Non-Accidental,51393,22-Sep,2nd Owner,MANUAL,DL-12,DL,Petrol,18.6,45,5,Delhi,581699
Mahindra,Scorpio S10,2015,Non-Accidental,44092,22-Feb,1st Owner,MANUAL,DL-7C,DL,Diesel,15.4,60,7,Delhi,920499
Hyundai,Elite i20 ASTA 1.2 (O),2017,Non-Accidental,15902,22-Aug,2nd Owner,MANUAL,HR-26,HR,Petrol,18.6,45,5,Delhi,708699
Mahindra,Bolero Power+ ZLX,2019,Non-Accidental,29851,22-Jul,1st Owner,MANUAL,UP-16,UP,Diesel,null,null,null,Delhi,832199
Maruti,Alto K10 VXI,2017,Non-Accidental,22714,22-Jun,1st Owner,MANUAL,DL-9C,DL,Petrol,24.1,35,5,Delhi,355999
Maruti,Alto VXI,2020,Non-Accidental,18261,22-Jun,1st Owner,MANUAL,HR-49,HR,Petrol,22,35,5,Delhi,372399
Audi,A3 35TDI PREMIUM,2014,Non-Accidental,91887,22-Nov,2nd Owner,AUTOMATIC,HR-26,HR,Diesel,20.4,50,5,Delhi,965799
Maruti,S Cross ZETA AT 1.5 SHVS,2021,Non-Accidental,15457,22-Sep,2nd Owner,NA,HR-98,HR,Petrol,18.4,48,5,Delhi,948899
Maruti,Celerio VXI CNG,2018,Non-Accidental,74328,22-Jul,1st Owner,MANUAL,DL-12,DL,Petrol + CNG,31.8,60,5,Delhi,464599
Audi,Q3 35TDI PREMIUM,2016,Non-Accidental,87180,22-Apr,1st Owner,AUTOMATIC,UP-16,UP,Diesel,null,null,null,Delhi,1730199
Maruti,Alto VXI,2020,Non-Accidental,42796,22-Jun,1st Owner,MANUAL,HR-54,HR,Petrol,22,35,5,Delhi,383399
Maruti,IGNIS ZETA 1.2 K12,2018,Non-Accidental,34211,22-Jan,1st Owner,MANUAL,DL-9C,DL,Petrol,21.4,37,5,Delhi,497799
Maruti,S PRESSO VXI PLUS,2020,Non-Accidental,8416,22-Dec,1st Owner,MANUAL,DL-14,DL,Petrol,21.7,27,5,Delhi,452899
